Date,Start,Visitor/Neutral,Home/Neutral
Wed Jan 19 2022,10:00p,Detroit Pistons,Sacramento Kings
Wed Jan 19 2022,10:30p,Indiana Pacers,Los Angeles Lakers
Thu Jan 20 2022,7:30p,New Orleans Pelicans,New York Knicks
Thu Jan 20 2022,10:00p,Phoenix Suns,Dallas Mavericks
Thu Jan 20 2022,10:00p,Indiana Pacers,Golden State Warriors
Fri Jan 21 2022,7:00p,Oklahoma City Thunder,Charlotte Hornets
Fri Jan 21 2022,7:00p,Los Angeles Lakers,Orlando Magic
Fri Jan 21 2022,7:00p,Los Angeles Clippers,Philadelphia 76ers
Fri Jan 21 2022,7:30p,Miami Heat,Atlanta Hawks
Fri Jan 21 2022,7:30p,Portland Trail Blazers,Boston Celtics
Fri Jan 21 2022,8:00p,Chicago Bulls,Milwaukee Bucks
Fri Jan 21 2022,8:00p,Toronto Raptors,Washington Wizards
Fri Jan 21 2022,8:30p,Brooklyn Nets,San Antonio Spurs
Fri Jan 21 2022,9:00p,Memphis Grizzlies,Denver Nuggets
Fri Jan 21 2022,9:00p,Detroit Pistons,Utah Jazz
Fri Jan 21 2022,10:00p,Houston Rockets,Golden State Warriors
Sat Jan 22 2022,8:00p,Oklahoma City Thunder,Cleveland Cavaliers
Sat Jan 22 2022,8:00p,Sacramento Kings,Milwaukee Bucks
Sat Jan 22 2022,9:00p,Indiana Pacers,Phoenix Suns
Sun Jan 23 2022,1:00p,Los Angeles Clippers,New York Knicks
Sun Jan 23 2022,3:30p,Boston Celtics,Washington Wizards
Sun Jan 23 2022,6:00p,Los Angeles Lakers,Miami Heat
